NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Ryan Grant,IND,ESPN.com,WR,0,0,0,0,0,532.4,3.8,0,0,0
Austin Hooper,ATL,ESPN.com,TE,0,0,0,0,0,497.1,4.1,0,0,0
Quincy Enunwa,NYJ,ESPN.com,WR,0,0,0,0,0,587,2.5,0,0,0
Tyler Eifert,CIN,ESPN.com,TE,0,0,0,0,0,494.9,4.2,0,0,0
D'Onta Foreman,HOU,ESPN.com,RB,0,0,0,629.6,3.9,122.5,0.6,0,0,0
D.J. Moore,CAR,ESPN.com,WR,0,0,0,0,0,546.2,3.3,0,0,0
James Washington,PIT,ESPN.com,WR,0,0,0,0,0,537.4,3.7,0,0,0
Josh Rosen,ARI,ESPN.com,QB,2126.6,10.6,8.2,40.3,0.4,0,0,0,0,0
Ricky Seals-Jones,ARI,ESPN.com,TE,0,0,0,0,0,546.2,3,0,0,0
Nick Chubb,CLE,ESPN.com,RB,0,0,0,614.9,4.8,89.4,0.4,0,0,0
John Brown,BAL,ESPN.com,WR,0,0,0,13.3,0,547.4,2.6,0,0,0
Darren Sproles,PHI,ESPN.com,RB,0,0,0,285.8,1.6,267.4,1.2,0,0,0
C.J. Anderson,CAR,ESPN.com,RB,0,0,0,613.8,4.1,94.6,0.3,0,0,0
Danny Amendola,MIA,ESPN.com,WR,0,0,0,22.2,0.1,473.7,2.1,0,0,0
Kendall Wright,MIN,ESPN.com,WR,0,0,0,0,0,512.4,2.3,0,0,0
Mike Williams,LAC,ESPN.com,WR,0,0,0,0,0,456.6,4,0,0,0
Travis Benjamin,LAC,ESPN.com,WR,0,0,0,82.9,0.2,473.3,2.8,0,0,0
Brandon Marshall,SEA,ESPN.com,WR,0,0,0,0,0,456.1,4.2,0,0,0
Terrelle Pryor Sr.,NYJ,ESPN.com,WR,0,0,0,13.5,0.1,498.6,2.7,0,0,0
Latavius Murray,MIN,ESPN.com,RB,0,0,0,415.8,3.5,169,0.6,0,0,0
Mike Gesicki,MIA,ESPN.com,TE,0,0,0,0,0,435.9,3.4,0,0,0
Dede Westbrook,JAX,ESPN.com,WR,0,0,0,0,0,512.9,2.3,0,0,0
Adam Humphries,TB,ESPN.com,WR,0,0,0,12,0,455.9,1.9,0,0,0
John Ross,CIN,ESPN.com,WR,0,0,0,46.2,0.2,461,2.7,0,0,0
Matt Breida,SF,ESPN.com,RB,0,0,0,412.4,3.1,175.7,0.7,0,0,0
Ryan Griffin,HOU,ESPN.com,TE,0,0,0,0,0,428.6,3.3,0,0,0
Donte Moncrief,JAX,ESPN.com,WR,0,0,0,0,0,459.9,3.2,0,0,0
Nyheim Hines,IND,ESPN.com,RB,0,0,0,232.6,1.1,275.7,1.2,0,0,0
Austin Ekeler,LAC,ESPN.com,RB,0,0,0,359.4,1.5,235.1,1,0,0,0
Jermaine Kearse,NYJ,ESPN.com,WR,0,0,0,0,0,473.5,2.4,0,0,0
Cole Beasley,DAL,ESPN.com,WR,0,0,0,0,0,434.6,2.1,0,0,0
T.J. Yeldon,JAX,ESPN.com,RB,0,0,0,302.8,2.2,218.9,0.6,0,0,0
O.J. Howard,TB,ESPN.com,TE,0,0,0,0,0,441.8,3.1,0,0,0
Trent Taylor,SF,ESPN.com,WR,0,0,0,0,0,443.1,2.2,0,0,0
Elijah McGuire,NYJ,ESPN.com,RB,0,0,0,342.8,2.3,204.3,0.8,0,0,0
J.J. Nelson,ARI,ESPN.com,WR,0,0,0,23.6,0.1,485,2.5,0,0,0
Michael Gallup,DAL,ESPN.com,WR,0,0,0,0,0,442.5,2.7,0,0,0
Frank Gore,MIA,ESPN.com,RB,0,0,0,415.9,1.8,163.6,0.7,0,0,0
Taylor Gabriel,CHI,ESPN.com,WR,0,0,0,21.9,0.1,446.6,1.8,0,0,0
Javorius Allen,BAL,ESPN.com,RB,0,0,0,248.2,1.7,217.5,0.8,0,0,0
Aaron Jones,GB,ESPN.com,RB,0,0,0,515.8,3,86.4,0.5,0,0,0
Carlos Hyde,CLE,ESPN.com,RB,0,0,0,486.5,4,66.2,0.4,0,0,0
Corey Clement,PHI,ESPN.com,RB,0,0,0,350.4,2.5,168.9,0.8,0,0,0
Hayden Hurst,BAL,ESPN.com,TE,0,0,0,0,0,389.6,2.5,0,0,0
Taywan Taylor,TEN,ESPN.com,WR,0,0,0,51.2,0.2,399.1,2.1,0,0,0
Chris Godwin,TB,ESPN.com,WR,0,0,0,0,0,419.1,2.7,0,0,0
Curtis Samuel,CAR,ESPN.com,WR,0,0,0,82.3,0.3,346.2,1.9,0,0,0
LeGarrette Blount,DET,ESPN.com,RB,0,0,0,500.4,4,50.3,0.3,0,0,0
Gerald Everett,LAR,ESPN.com,TE,0,0,0,0,0,348.7,3.3,0,0,0
Kyle Juszczyk,SF,ESPN.com,RB,0,0,0,25.9,0.6,310.9,1.7,0,0,0
